title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
Field Engineer,"US, NY, ",null,null,"Graphs are everywhere. From websites adding social capabilities to Telco’s providing personalized customer services to innovative bioinformatics research, organizations are adopting graph databases as the best way to model and query connected data. Neo Technology researchers have pioneered graph databases since 2000 and have been instrumental in bringing the power of the graph to numerous organizations worldwide, including 25 Global 2000 customers, such as Cisco, HP, Accenture, Deutsche Telekom, and Telenor. Serving customers in production for over a decade, Neo4j is the world’s leading graph database with the largest ecosystem of partners and tens of thousands of successful deployments.Neo Technology is a privately held company funded by Fidelity Growth Partners Europe, Sunstone Capital and Conor Venture Partners, and is headquartered in San Mateo, CA, with offices in Sweden, UK, Germany, and Malaysia. For more information, please visit #URL_037405d1fc6ccc5d2e9a34b60a242f1fa611220c23b9ddd495a526bd2aa0814a#","(graphs) -[:ARE]-&gt; (everywhere)We want you to be a part of the Neo Technology graph!  We are a rapidly growing startup with a passionate team helping our customers realize the value of the graph over old, “relational” database ways.  We’re hiring people with an equal passion for technology who want to share this journey with us.The Field Engineering Consultant works directly with customers helping them implement Neo4j.  You’ll get hands-on with our customer’s engineering and operations teams helping them build and deliver on their solutions.  You’ll provide expert guidance on database design and implementation as well as writing code to help our customers achieve success.  If you are a technologist wanting to be a part of the NoSQL space and hands-on helping people implement it, this is the role for you.  We look forward to (you) -[:WORKING_AT]-&gt; (Neo Technology)","To be successful, you’ll want to have experience, skills, and the flexibility for the following:Comfortable and experienced with development practices and at least one development languageAt least an awareness-level of Java so you can review Java code, stack traces, and discuss common Java development patternsExperience with a database system and database concepts such as indexing, schema, constraints, etc.Knowledge of operational implementation of Java for high performance applications including JVM configuration, tuning, monitoringCapable of leading training and knowledge sharing sessions to small groups (10 to 15 people)Willingness to diligently document engagement facts and recommendations for customersFlexibility to travel between 50% of the the time (depending on location)",null,1,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0
Platform Engineer,"US, CA, Mountain View",null,null,null,"FanKave strives to build a fun, social networking platform for sports fans. We are a early stage startup with great ideas and a highly influential team of investors and advisors. We are seeking talented, self-driven individuals who can help us execute on our ideas and create value for our users.If you have a knack for devising creative yet elegant solutions for complex problems, like to push yourself beyond your comfort zone and thrive in a dynamic startup environment, then we would like to hear from you.Responsible for architecting Fankave's backend services infrastructure. Ideal candidate has prior experience in building large-scale distributed platforms ensuring high-availability and performance.","EducationBS in Computer Science, or equivalent.Required SkillsObject-oriented programming using Java or C++.Hands-on experience in building, debugging and optimizing distributed systems.Solid understanding of SQL and NoSQL databases.Preferred SkillsProgramming tools: #URL_968b3a839b798052f33a95a811f8b2366cd66f6bcc98f2885bea5ee47d000659# / Erlang / Lua / Python.Databases: Cassandra / Redis / MongoDB.Nginx / Jetty / Tomcat.Kafka / RabbitMQ / XMPP.Amazon Web Services.",Competitive salary and stock optionsFlexible work hours and vacation policyHealth insurance,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,null,0
Branch Circulation Clerk,"US, FL, Apopka",North Orange,1161-1161,Great BenefitsCompetitive Pay,"SUMMARY:Under general supervision, performs a variety of public service duties involving automated circulation system functions. ESSENTIAL FUNCTIONS:This class specification lists the major duties and requirements of the job and is not all-inclusive.  Incumbent(s) may be expected to perform job-related duties other than those contained in this document and may be required to have specific job-related knowledge and skills. Customer ServiceDemonstrates courteous and cooperative behavior when interacting with public and staff; acts in a manner that promotes a harmonious and effective workplace environment.Provides public service at the Circulation Desk to include checking library materials in and out, maintaining patron accounts in the collection of fines and fees, and registering and issuing patron cards.Assists patrons with discovery of library materials, library equipment and library resources.Answers inquiries of customers and refers in depth inquires.Assists patrons with questions regarding Library Account(s).Performs routine shelf checks for materials.Assists patrons with computer related services, library computer systems and databases, personal digital devices, and other online resources. Library ActivitiesUtilizes automated library systems and other library equipment.Updates computer records as needed.Interacts extensively via phone, email, or in person with internal and external customers, district-wide staff, outside agencies, and other libraries.Operates general office equipment, to include but not limited to: copy machine, computers, scanners, vending systems, telephone, and facsimile machine; instructs customers as necessary.Sorts returned library materials and shelves/places materials in the designated area.  Programs/promotion/outreachCollects, organizes and distributes press materials for patrons to include welcome packets, programming supplements, class calendars and library newsletters.Attends community outreach events to promote library usage and resources.Designs, plans, implements programming to meet community needs including publicity, promotional materials and recording statistics.Creates displays and market library resources.Maintains bulletin boards. Office AdministrationCounts money for cash register and balances cash drawer; perform deposits as required.Inspects returned library materials for damage.Handles patron requests for materials including pulling items, patron notification and sending items to appropriate locations.Maintains clean organized environment.Collects waste and cleans areas as required.Monitors inventory levels and prepares supply orders for branch activities and functions.Processes periodicals for inclusion in collection.Processes donations and maintain book sale area for Friends of Library.Reports service issues and maintain vendor logs.Demonstrates courteous and cooperative behavior when interacting with public and staff; acts in a manner that promotes a harmonious and effective workplace environment. QUALIFICATIONS:To perform this job successfully, an individual must be able to perform each essential duty satisfactorily.  The requirements listed below are representative of the knowledge, skill, and/or ability required. Education and Experience:High School Diploma; AND one (1) year of customer service experience; OR an equivalent combination of education, training and experience as determined by Human Resources. Required Certificates, Licenses, and Registrations:Continued employment is contingent upon all required licenses and certificates being maintained in active status without suspension or revocation.None.Required Knowledge and SkillsRequired Knowledge:Public library methods and practices as they pertain to the Circulation Department.Record keeping principles and methods.Library District, Branch, and Circulation Department policies, procedures and terminology.Standard office practices and procedures, including filing and the operation of standard office equipment.Correct business English, including spelling, grammar and punctuation.Techniques for dealing with the public, in person and over the telephone.Required Skills:Perform basic arithmetic computations.Work independently in supervisor’s absence.Understand and follow oral and written instructions.Communicate clearly and concisely, both orally and in writing.Interpret, apply, and explain Library Policies and Procedures.Maintain accurate records and files.Organize own work, set priorities and meet critical deadlines.Use tact, discretion and prudence in dealing with those contacted in the course of the work.Contribute effectively to the accomplishment of team or work unit goals, objectives and activities.Establish and maintain effective working relationships with those contacted in the course of the work. SUPERVISION RECEIVED AND EXERCISED:Under General Supervision - Incumbents at this level are given assignments and objectives that are governed by specifically outlined work methods and a sequence of steps, which are explained in general terms. The responsibility for achieving the work objectives, however, rests with a superior. Immediate supervision is not consistent, but checks are integrated into work processes and/or reviews are frequent enough to ensure compliance with instructions. PHYSICAL/MENTAL REQUIREMENTS:The physical demands described herein are representative of those that must be met by an employee to successfully perform the essential functions of the job.  Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.  Mobility to work in an office setting, use standard office equipment and stamina to sit and stand for extended periods of time; strength to lift and carry up to 30 pounds; vision to read printed materials; and hearing and speech to communicate in person or over the telephone.  Incumbent must have the ability to bend, reach, stoop, and push. WORKING ENVIRONMENT:Work is performed in a  ""retail like"" environment. I understand it is my responsibility to uphold the Library System’s mission and values in the pursuit of all duties including:Respect for the individual, our organization and the communityExcellence in everything we doIntegrity in our actions with othersWhile providing excellent customer service to all internal and external customers",null,null,0,0,0,Part-time,Not Applicable,Some High School Coursework,Libraries,Customer Service,0
Finance Assistant,"AU, NSW, Sydney",null,25-30,null,"On behalf of our client we are looking for an Finance Assistant All-rounder for a newly created position within fast growing organization. Role and activities:Understand requirements of customers and their challenges in finance domain Document the requirements, discuss and finalise scope of work Customise the finance software to suit the agreed scope of work","General requirements: · Male or Female · Age from 18 and more · A student or someone with the formation · Good skills of communications · Literate in MS Word, Excel, Powerpoint and Outlook · Able to work under pressure and prioritise, in a dynamic environment","With full-time and flexible part-time positions available, and full training provided you can pay your bills while making a huge difference to those who need it! We are waiting your CV.",0,0,0,Part-time,Not Applicable,null,Financial Services,Finance,1
Sales Rep,"US, MA, Boston",Sales,null,null,"Our client is seeking a sales representative to drive new client business and relationships, with major focus in Telecomm/ Wireless. Knowledge of Tower Install/ Construction a plus.*The right candidate for this position would ideally be located in the Northeast or possibly Midwest.","Qualifications:Must have business-to-business sales experienceMust have proven track record of setting and exceeding goals.Demonstrates a positive attitude and passion for success.Demonstrates excellent follow-up and organizational skills.Have excellent written and oral communication skills.In depth understanding of all facets of the sales process from lead generation, close, into account management and development.Must be comfortable with client-facing, consultative interaction with management and senior leadership to develop the appropriate solution and close the business with the client.Desired Attributes:Knowledge of/experience with structured sales methodologies, e.g., Strategic Selling, Solution Selling, SPIN, Power based Selling, Target Account Selling.A “hunter” mentality with strong phone skills.Developed specialized businessStrong desire for continued education and trend tracking relevant to telecom/wireless.Client would prefer candidates for this role be located in the Northeast or possibly Midwest.",Not available at this time. Hybrid:  Salary + Bonus structure. ,1,1,1,Full-time,Mid-Senior level,null,Telecommunications,Sales,0
Military Veterans Wanted for Solar Energy Construction,"US, NV, Primm",null,null,"Empower America is mission driven to recruit, train and employ our military veterans into careers in renewable energy the construction industry.  We are prepared to build the nation’s first veteran workforce, with the highest work ethics instilled by the best trainer on the planet our military.Empower America is unique in that it works with local government and businesses to originate or assist in developing energy efficiency and solar energy projects.  We stand for American Jobs, American Veterans and American Energy Independence.​ ","This Job Site is in the area of Primm, NV.Job Description:The solar position involves installing grid-tied solar photovoltaic (PV) systems for residential, commercial, industrial and or ground-mounted projects. Solar PV Installers work in teams under the direction of a Crew Lead Installer. Installers will assist the crew lead with all aspects of the onsite installation of the systems. All team members have the duty to ensure installation sites meet safety and quality control standards.  General Construction positions start from general labor through all specialty skills, such as concrete, electrical, carpentry, form setters, to truck drivers and forklift operators.Solar Responsibilities:-Prep system components and equipment for each installation job-Assemble solar modules and mounting hardware-Install and maintain racking, panels, and stand offs for solar PV systems-Properly flashing roof penetrations-Conduct electrical (AC/DC) wiring of solar array-Complete training requirements for safety, installation methodology, and new productsGeneral Construction Responsibilities:   -Prep the site-Installation and Maintenance-All forms of concrete work-Electrical wiring Requirements &amp; Qualifications:-U.S. military veteran with a service discharge of Honorable or General (Under Honorable Conditions)-Provide a copy of DD-214 (member 4)-High School diploma or GED required-Must be able to lift 75 lbs -Willing and able to work in extreme conditions (example- heat, cold, on your feet for long periods of time, etc.)-Must be comfortable climbing ladders, working at heights and on rooftops                                   -Must be comfortable working on your knees or in bent knee positions for long periods of time as required-Ability to communicate effectively through verbal or written channels (example-in person, phone, E-mail, etc.)-Professional conduct and excellent customer service skills-Must be able to successfully pass a pre-employment background screening (criminal, driving, and drug test)-Must possess a valid state driver’s license and pass a Motor Vehicle Report (no DUIs in the last 5 years)-Must have reliable transportation   -Bilingual a plus but not required-A copy of all licenses and certifications current or expired (vehicle, machine, operator, OSHA, safety, etc)-OSHA 10 is required (if you need any more information on this please contact us and we will gladly help you) The following skills/experience is strongly preferred, but not required: for solar, construction, electrical, or roofing, As a Veteran our partners are looking to hire you for your strong work ethic, that’s the experience most of them are looking for. Schedule: Work schedule is predicated on contractor/project requirements. Pay Rate: $15 per hour (negotiable based on experience) Apply to Empower America and become a Solar Professional in one of the nation’s fastest growing industries. In most cases, training will be on the job. Solar experience is not required.",null,null,0,1,1,null,Entry level,High School or equivalent,Construction,null,0
Back-end Developer - Financial/Retirement Modeling Tools,"US, IL, Chicago",null,65000-85000,"We believe in a smarter workplace.The gateway to a successful business is an efficient, productive workplace. We Are Mammoth builds web apps that help companies around the world do a better job communicating, organizing, and hiring.Our mission as a workplace feeds our mission as a business.Our mission as a workplace is to be just as productive as the folks who work here everyday building software. Indeed, building an efficient company requires just as much design, craft, and focus as building a high-availability software system. Effective project management, sharp IT support, a healthy fridge, comprehensive benefits, and helping folks be proactive team members are just a few ways we express our view that the gateway to a successful business is an efficient workplace.Our mission as a business is to build web apps and services which help other companies be better places to work at too. Every company should work smarter, hire better, and organize quicker. Our applications and consulting services show them how.","We’re looking for a back-end application developer with at least 2 years of experience to round out our team. You're welcome to join us here at our Chicago office, but if you'd like to stay in that beautiful 'other' place you currently live, that's fine too. (Onshore applicants only please.)We Are Mammoth builds retirement, workplace, and financial modeling tools which help companies big and small be better employers/teams/people at work. You'll be interfacing directly with our clients in equal parts coder and communicator because we believe the best way to get work done is to connect the folks doing the work with the folks requesting it.  We also build and sell DoneDone, our own web-based issue tracker and are developing our second product now. We attend and speak at web design and development conferences around the country. We’re avid developers, designers, writers, and thinkers. One of our partners just authored a book on web developer life – The Developer’s Code. If you read it, you’ll get a sense of the values and approach here at We Are Mammoth.Here are some things you might be doing in a given week:Architect a data model for a custom app using our data modeling framework, X2O.Discuss and document the implementation details of an application feature directly with the client.Maintain our existing client web sites and applications code services and web pages using the .NET MVC framework.Generate hundreds of thousands of customized PDF documents for our client’s customers.Run your code through performance profilers (we like ANTS) and speed up your slow code.Give a talk to the other developers on how to improve their skills, use new technology, or just to show them something interesting you’ve come across.","All of our developers here have experience in the following, in order of how often you’ll be using these languages/patterns:.NET / C# using the MVC frameworkService-repository pattern and dependency injectionSQL (we use Dapper a lot in our apps sprinkled around a fair amount of LINQ to SQL)Relational DB developmentUnit and regression testingSSISjQueryHTML/CSS","Working at We Are Mammoth: We're a hard working team of about 15. We opt for smarter, constantly-tuned between the lines work weeks to maintain a meaningful work/life balance.Everybody starts with 15 days of paid vacation. Each year, you'll get 5 more until you've got 25. We've got a beautiful office in Chicago's Fulton Market. It's like a home, a library, and a gallery mashed into one. If you're working remote, well, you'll be joining us quarterly here at hq, too. We've got an employer-matched retirement plan with company matching up to 3%.We'll pay for a parking space or public transportation.We do annual salary reviews, bi-annual how-things-are-going reviews, and have an employee profit-sharing plan.",1,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,Engineering,0
Entry Level Medical Transcriptionist,"US, CA, Los Angeles",null,0-0,null,"We need a Medical Transcriptionist who will transcribe reports recorded by physicians and other healthcare practitioners. The types of documents include items such as, letters, chart notes and reports. You will work from home via a virtual project management site. You will be transcribing audio recordings into printed reports. These recordings, dictated by physicians or other healthcare professionals, become part of permanent written records by way of your transcription services. Additional responsibilities of the role include: Transcribing dictation for a variety of reports, including:Patient historiesPhysical examinationsEmergency room visitsOperationsChart reviewsConsultationsDischarge summariesTranslating medical jargon and abbreviations into their expanded formsEnsuring the accuracy of patient and health care facility recordsEditing as necessary and returning reports in electronic form for reviewCompleting work on time, within a 24 hour time frame","Transcribing dictation for a variety of reports, including:Patient historiesPhysical examinationsEmergency room visitsOperationsChart reviewsConsultationsDischarge summariesTranslating medical jargon and abbreviations into their expanded formsEnsuring the accuracy of patient and health care facility recordsEditing as necessary and returning reports in electronic form for reviewCompleting work on time, within a 24 hour time frame",Other benefits of the Transcriber position include: Work at home and at your own paceYou make your own scheduleAbility to work day or night depending on your preferenceHigh demand in several industries for transcribersAbility to spend more time with your familyAvoid expenses such as daycareSave money on gas and business office attireLess wear and tear on your vehicle lowers your auto insuranceFlexibility and freedom to manage yourself!,1,0,0,Full-time,Entry level,High School or equivalent,Medical Practice,null,1
Senior Engineering Product Manager,"TW, TPQ, Taipei",Engineering ,null,"Aptitude Staffing Solutions has redesigned the recruiting wheel. Our innovative new platform cuts the recruiting time in half, yields scientifically-proven results and clients and candidates enjoy a pleasant experience through advanced, simple to use technology and a tenured, industry-experienced recruiting team. Join us in a fresh new experience of leveraging your career...the way it should be! All represented candidates enjoy the following perks:Expert negotiations, maximizing total compensation package Signing bonus by Aptitude Staffing in addition to client signing bonus (if applicable)1 Year access to AnyPerkRelocation Services for out of town candidatesContinued education in your area of profession, seminars, workshops and other skill development events Contract employees receive quarterly bonuses for the duration of their project Direct-Hire employees receive double bonues ($2,000) per referred/recruited candidate into their newly appointed companyAll candidates are encouraged to participate in our Referral Bonus Program &amp; earn $500 - $1,000 per hired referral            ",Senior Engineering Product Manager | Taiwan Taipei,null,"What Is Offered:Very competitive base salary.30% bonus structure, guaranteed annually.Significant stake in equity/stock optionsFull benefits package along with many perksOpportunity for Executive-level advancement and career leverageWorld renowned leadership, mentorship, and a very attractive culture/work environmentRelocation assistence if neededSigning bonus through placement agency Unique and attractive company culture and environment Highly visable products, leading technologies and recognition Global environment, global product stage in a fast-paced, start-up environmentBroad responsibility, autonomy and visibility in an Engineering role.In-depth exposure to real-world customer issues across a global customer baseSmall-company feel in a growth environmentGenerous base salary + significant bonus structure + equity / stock options + full benefits package                                     Please Apply for Immediate Consideration. Qualified candidates contact:                                 Darren Lawson | VP of Recruiting | #EMAIL_f4da338e899ddba983ac771b001681d1d2d93b3327ddc420a15f4e5a310071a9# | #PHONE_90d33c9d7ec1484aebfe37b153d677decc6f5f53b316489ed24061544c04eb66#",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,Engineering,1
Communications Manager ,"US, NY, New York",Leadership,null,"#URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e# and Aptitude Staffing Solutions have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model.  Our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture!Please direct all communications throughout this process to the HR department at Aptitude Staffing Solutions#EMAIL_0c020555b4dbc1c1e03d03c46cc181bcfde81bf5b20fea95d1bc7dc64c79814c#Darren Lawson | VP of Recruiting | #EMAIL_f4da338e899ddba983ac771b001681d1d2d93b3327ddc420a15f4e5a310071a9# | #PHONE_90d33c9d7ec1484aebfe37b153d677decc6f5f53b316489ed24061544c04eb66#","Qualified candidates are encouraged to apply directly to this job posting.  Direct email and phone calls are not being considered. Thank you for your cooperation.  Please no recruiters.  Communications Manager | New York, NY, United StatesJOB DESCRIPTION:We help brand advertisers, agencies, publishers and ad networks intelligently, effectively and safely plan, buy and measure billions of video ad trades programmatically every month across Web, mobile and linear TV. #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e#’s marketing and communications group works closely together and with colleagues across all departments to create, package and communicate the company’s market leadership around the world. We have a passion for telling the right story to the right people at the right time, and if you’d like to be part of the world’s greatest marketing and communications team, come tell us your story.    The Communications Manager will be based in #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e#’s New York City offices and report to our Director of Communications. While contributing to our overall global communications strategy across APAC and EMEA regions, the position will focus on the North American market.  We are especially looking for creative writers who have the ability to explain complex ideas in simple ways and who are driven to making big ideas into reality. As such, you should have a solid understanding of the media and technology space, including industry trends and key players.   Responsibilities for this critical position include:  - Manage and execute on a strategic editorial and communications calendar that amplifies our presence at industry events and in key target media;  - Writing, and lots of it. From press releases to copyediting and copywriting assignments, you’ll be doing a bit of everything that involves the written word - Proactive approach to content; bring new ideas to the table and make them come to life. - Demonstrate business impact of marketing and communications using existing and new digital and social media platforms (with a focus on Twitter, LinkedIn and Facebook) - Cultivate existing and develop new relationships with trade, business and tech media outlets, and position #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e#’s executives as thought leaders on a number of relevant topics - Support for traditional PR and digital media programs internally and externally ","Some of the desired skills and experience for this position include, but are not limited to:  - BA/BS/Undergraduate (degree in Communications, English or Journalism is preferred) - 4-6 years of experience at PR agencies, in corporate communications or in journalism  - Excellent writing and verbal communications skills  - Experience and knowledge of tech PR  - Strong, established business and trade press and analyst relationships  - Team-oriented attitude and willingness to pitch in wherever needed  - Desire to keep learning and advance within the company  - Creativity and integrity Bonus:  - Experience working internationally  - Experience working for an advertising technology company","Our core values drive our culture. This is what we believe: Why #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e#? Watch our culture video to learn more.MAKE OUR CUSTOMERS SUCCESSFUL Our customers' success is ours. We live to solve their problems, improve their futures, and exceed their expectations. When our customers win, we win.SET THE BAR HIGH. We're trying to revolutionize an industry, so we can't be just good—we have to be the best. That means striving for the best team, product, and company on the planet.BE ACCOUNTABLE. We own our work. We keep our promises. And we always follow through. We take responsibility for failures, and humble bows for successes. There's no time for excuses and finger pointing.SHOW INTEGRITY. Forget loopholes, back doors, and shades of gray. We just say it. We are honest and straightforward with everyone. The only way we can bring clarity to a chaotic world is to walk-the-walk ourselves.MAKE EACH OTHER BETTER. Everything we achieve, we achieve together. Nobody is too important to grab a broom.ALWAYS MOVE FORWARD. We see the world as it could be, not just as it is. With our passion for finding new solutions to old problems, we're creating that new world. It's a future worth adapting to.The Benefits Generous paid time off to help you maintain a good work-life balanceFully catered lunches available everyday to all employees at the corporate officeOffices fully stocked with snacks and refreshments to keep you energized and productiveExtensive employee benefits and perks to show how much we value your effortsFun team events, company events, employee sponsored events, employee recognition awards, and more!  Qualified candidates are encouraged to apply directly to this job posting.  Direct email and phone calls are not being considered. Thank you for your cooperation.  Please no recruiters.                                                                      ",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Management,1
